國,英,數,自,社
4064,4895,1558,4062,2600
14305,13127,3500,9886,8042
31396,22436,6610,16279,19919
52646,32635,10835,23488,32378
73661,42869,16497,31082,46347
91739,52673,23568,38577,60436
104812,62158,32298,46405,73484
113240,71274,42924,55170,84787
118488,80358,55504,64669,95571
121767,90012,70206,75940,101056
123877,101155,86355,85890,103988
125146,113644,101709,91962,104762
126024,123705,114260,93522,104867
126271,125919,121984,93619,104875
126279,125985,123742,93629,104877
126287,125995,123786,93639,104889
