國英,國數,國社,國自,英數,英社,英自,數社,數自,自社,國英數,國英自,國英社,國數社,國數自,國自社,英數社,英數自,英自社,數自社,國英數自,國英數社,國數自社,英數自社,國英自社
110859,109265,111822,92886,91746,97126,73927,95153,71174,78557,69275,53554,70135,66788,51784,49650,56811,46485,41347,38987,36078,41304,27280,25438,28995
116187,114406,114702,97460,96773,102547,79089,100456,76324,83561,73998,57837,75096,72455,55874,55196,61440,49749,45497,43133,38905,45292,30330,28032,32288
121014,119040,117075,100952,101706,107621,84158,105340,81504,87753,78591,62100,79865,77991,60099,60686,65877,53195,49620,47330,41739,49380,33480,30675,35614
124998,122981,118914,103705,106510,112228,89250,109798,86607,91162,83089,66359,84520,82960,64385,65770,70301,56657,53704,51676,44629,53400,36818,33365,38928
128483,126298,120296,105827,111228,116045,94344,113713,91871,93687,87538,70408,88865,87652,68635,70502,74659,60203,57646,55833,47537,57324,40289,36123,42363
131159,128936,121285,107412,116150,119179,99388,116862,96980,95448,91904,74430,93072,92003,72875,74711,78924,63823,61724,60021,50478,61158,43625,38926,45813
133234,130969,121905,108483,121155,121111,104141,119067,101709,96405,96008,78375,96975,95950,77133,78297,83146,67299,65703,64198,53475,64859,47241,41723,49211
134613,132438,122275,109178,126253,121965,107533,120351,105537,96825,99921,82238,100538,99423,80998,81473,87024,70831,69543,68106,56535,68534,50801,44649,52539
135454,133353,122410,109579,130661,122222,108933,120925,107846,97105,103712,85920,103986,102633,84804,84279,90870,74132,73230,71996,59594,72222,54305,47644,55801
135896,133911,122457,109823,133111,122318,109325,121123,108755,97302,107321,89450,107033,105643,88385,86749,94431,77492,76696,75474,62717,75772,57806,50623,58994
136012,134170,122488,109961,133965,122404,109673,121198,109117,97407,110750,92763,109713,108357,91724,88771,97910,80782,79955,78720,65686,79305,61314,53493,62207
136090,134350,122545,110163,134338,122527,110126,121239,109426,97422,114047,95742,112255,110764,94826,90560,101123,83950,82942,81815,68631,82777,64679,56423,65397
136121,134440,122581,110282,134428,122560,110243,121264,109603,97424,117205,98343,114429,112925,97601,92074,104243,86980,85840,84647,71642,86069,67942,59260,68503
136130,134448,122586,110289,134435,122561,110248,121271,109649,97425,120130,100925,116303,114850,100074,93425,107437,89992,88398,87355,74524,89201,70838,62112,71395
136135,134453,122591,110293,134440,122564,110252,121276,109656,97428,122936,103009,117993,116464,102221,94535,110435,93045,90807,89818,77453,92100,73566,64951,74235
,,,,,,,,,,125512,104885,119380,117819,104120,95398,113251,95971,92899,92003,80140,94938,76243,67645,76831
,,,,,,,,,,127834,106468,120455,118947,105762,96093,115820,98926,94591,93709,82805,97566,78717,70383,79251
,,,,,,,,,,129775,107736,121289,119816,107076,96598,117898,101864,95822,95011,85360,100062,80884,72905,81499
,,,,,,,,,,131381,108641,121851,120435,108003,96933,119434,104666,96561,95903,87841,102442,83031,75245,83557
,,,,,,,,,,132604,109265,122200,120847,108691,97136,120447,106876,96921,96451,90164,104761,84927,77570,85490
,,,,,,,,,,133412,109626,122342,121084,109141,97266,120917,108297,97142,96727,92397,106917,86719,79792,87222
,,,,,,,,,,133897,109835,122401,121207,109420,97380,121131,109000,97296,96915,94528,108960,88322,81982,88816
,,,,,,,,,,134158,109983,122437,121279,109584,97455,121213,109334,97383,97043,96589,110897,89761,83908,90301
,,,,,,,,,,134310,110130,122478,121323,109707,97492,121267,109569,97419,97136,98502,112682,91128,85931,91639
,,,,,,,,,,134404,110241,122510,121343,109811,97509,121312,109725,97447,97198,100307,114332,92358,87909,92823
,,,,,,,,,,134455,110284,122552,121363,109886,97519,121367,109839,97500,97232,102002,115760,93399,89761,93917
,,,,,,,,,,134520,110326,122598,121395,109979,97555,121437,109981,97565,97245,103598,117064,94265,91467,94812
,,,,,,,,,,134546,110346,122614,121417,110036,97580,121460,110019,97587,97255,105043,118190,95021,93002,95556
,,,,,,,,,,134546,110347,122620,121421,110039,97582,121461,110023,97587,97258,106252,119108,95687,94291,96180
,,,,,,,,,,134551,110351,122625,121425,110043,97584,121466,110027,97589,97261,107342,119869,96149,95306,96615
,,,,,,,,,,,,,,,,,,,,108156,120432,96516,96036,96919
,,,,,,,,,,,,,,,,,,,,108744,120851,96782,96535,97126
,,,,,,,,,,,,,,,,,,,,109194,121064,96933,96778,97244
,,,,,,,,,,,,,,,,,,,,109437,121175,97040,96953,97354
,,,,,,,,,,,,,,,,,,,,109620,121262,97122,97067,97425
,,,,,,,,,,,,,,,,,,,,109746,121302,97183,97134,97454
,,,,,,,,,,,,,,,,,,,,109830,121334,97222,97183,97483
,,,,,,,,,,,,,,,,,,,,109893,121356,97264,97224,97509
,,,,,,,,,,,,,,,,,,,,109960,121383,97289,97255,97536
,,,,,,,,,,,,,,,,,,,,110017,121401,97301,97274,97557
,,,,,,,,,,,,,,,,,,,,110050,121438,97313,97313,97583
,,,,,,,,,,,,,,,,,,,,110094,121481,97334,97361,97611
,,,,,,,,,,,,,,,,,,,,110108,121497,97351,97374,97622
,,,,,,,,,,,,,,,,,,,,110108,121497,97353,97374,97623
,,,,,,,,,,,,,,,,,,,,110113,121502,97356,97377,97626
