國英,國數,國社,國自,英數,英社,英自,數社,數自,自社,國英數,國英自,國英社,國數社,國數自,國自社,英數社,英數自,英自社,數自社,國英數自,國英數社,國數自社,英數自社,國英自社
2159,1431,726,1182,2458,905,2048,563,2496,409,942,860,441,250,780,185,332,1343,263,285,595,187,139,189,146
6340,4622,2565,3572,6517,2963,5000,1869,5592,1274,2767,2369,1426,925,2355,664,1127,3255,838,873,1656,660,493,623,502
12313,9197,5914,6777,11317,6620,8461,4394,9074,2781,5415,4467,3173,2026,4416,1443,2435,5539,1805,1833,3107,1453,1035,1268,1078
19514,14997,11417,10506,16424,11930,12232,7941,12644,4906,8593,6845,5600,3742,6827,2644,4355,7937,3112,3152,4810,2563,1834,2198,1934
27639,21457,19058,14738,22027,18302,16104,12527,16479,7504,12222,9424,8892,6144,9411,4142,6798,10447,4710,4785,6659,4068,2894,3291,3008
36042,28486,28190,19479,27862,25354,20028,18194,20473,10474,16242,12268,12888,9125,12140,5903,9796,13066,6467,6519,8614,5891,4089,4568,4196
44588,36069,38257,24711,33774,32645,24194,24355,24597,14242,20565,15229,17498,12693,15095,7971,13028,15753,8457,8448,10679,8077,5467,5914,5589
52639,43904,48845,30384,39791,39933,28549,31050,28746,18509,25164,18365,22412,16779,18262,10299,16685,18507,10664,10669,12803,10583,6929,7356,7124
60279,51807,59412,36379,45862,47164,33021,38364,33083,23465,29948,21724,27606,21311,21623,13141,20625,21395,13173,12993,15083,13255,8513,8857,8802
67508,59926,69621,42689,51950,54154,37816,45990,37468,29264,34813,25292,33043,26245,25118,16389,24705,24334,16004,15546,17490,16221,10338,10514,10650
74226,67953,78607,49761,57996,60587,42766,53846,41957,35811,39749,29092,38562,31567,28594,20086,29118,27309,18964,18331,19900,19393,12251,12331,12837
80648,75697,86561,57209,63757,66892,47855,61511,46721,43197,44890,33064,44059,37127,32255,24006,33501,30422,22197,21243,22415,22722,14415,14239,15125
86967,83225,93576,65066,69594,73008,53169,68970,51395,50840,49874,37001,49519,42921,36073,28363,37944,33533,25695,24429,25083,26277,16714,16250,17498
93046,90346,99392,72850,75387,79136,58454,76058,56163,58605,54783,41016,54906,48782,39849,33260,42614,36743,29302,27667,27817,29854,19168,18436,20122
99133,97141,104208,80485,80811,85032,63585,82747,61044,65947,59604,45148,60138,54875,43811,38573,47347,39913,33158,31169,30508,33638,21680,20673,22852
105192,103495,108331,87221,86427,91109,68814,89209,66088,72680,64452,49307,65128,60869,47756,44131,52155,43176,37203,34955,33300,37395,24392,23044,25829
