國英,國數,國社,國自,英數,英社,英自,數社,數自,自社,國英數,國英自,國英社,國數社,國數自,國自社,英數社,英數自,英自社,數自社,國英數自,國英數社,國數自社,英數自社,國英自社
,,,,,,,,,,129907,102049,112749,111772,101738,84359,111807,101700,84356,84004,99069,110335,83025,82251,83523
,,,,,,,,,,,,,,,,,,,,99839,110906,83341,82944,83800
,,,,,,,,,,,,,,,,,,,,100482,111272,83559,83345,83962
,,,,,,,,,,,,,,,,,,,,100894,111490,83722,83561,84099
,,,,,,,,,,,,,,,,,,,,101185,111598,83852,83732,84187
,,,,,,,,,,,,,,,,,,,,101362,111646,83915,83848,84237
,,,,,,,,,,,,,,,,,,,,101490,111676,83955,83920,84255
,,,,,,,,,,,,,,,,,,,,101573,111700,83993,83966,84270
,,,,,,,,,,,,,,,,,,,,101652,111715,84018,83985,84286
,,,,,,,,,,,,,,,,,,,,101700,111740,84035,84006,84313
,,,,,,,,,,,,,,,,,,,,101722,111763,84052,84025,84328
,,,,,,,,,,,,,,,,,,,,101751,111798,84064,84053,84354
,,,,,,,,,,,,,,,,,,,,101785,111834,84080,84095,84381
,,,,,,,,,,,,,,,,,,,,101790,111838,84086,84098,84382
,,,,,,,,,,,,,,,,,,,,101791,111840,84088,84099,84383
,,,,,,,,,,,,,,,,,,,,101792,111841,84089,84100,84384
