國英,國數,國社,國自,英數,英社,英自,數社,數自,自社,國英數,國英自,國英社,國數社,國數自,國自社,英數社,英數自,英自社,數自社,國英數自,國英數社,國數自社,英數自社,國英自社
,,,,,,,,,,,,,,,,,,,,93671,104511,75933,75371,76246
,,,,,,,,,,,,,,,,,,,,94235,104860,76114,75831,76395
,,,,,,,,,,,,,,,,,,,,94603,105051,76253,76085,76493
,,,,,,,,,,,,,,,,,,,,94856,105156,76374,76245,76599
,,,,,,,,,,,,,,,,,,,,95027,105234,76450,76388,76659
,,,,,,,,,,,,,,,,,,,,95139,105272,76505,76476,76685
,,,,,,,,,,,,,,,,,,,,95231,105297,76556,76518,76706
,,,,,,,,,,,,,,,,,,,,95306,105331,76588,76544,76731
,,,,,,,,,,,,,,,,,,,,95378,105368,76604,76576,76763
,,,,,,,,,,,,,,,,,,,,95417,105393,76627,76605,76786
,,,,,,,,,,,,,,,,,,,,95443,105416,76644,76646,76805
,,,,,,,,,,,,,,,,,,,,95469,105436,76665,76684,76819
,,,,,,,,,,,,,,,,,,,,95477,105444,76677,76695,76824
,,,,,,,,,,,,,,,,,,,,95479,105445,76678,76697,76825
,,,,,,,,,,,,,,,,,,,,95484,105449,76681,76699,76827
